path,url,title,date,type_guess,weight_28d,clicks_28d,impressions_28d,avg_pos_28d,ctr_28d,clicks_7d,impressions_7d,avg_pos_7d,ctr_7d
/tc/insights/hong-kong-grief-recovery-disaster-trauma-why-truth-matters-refresh,https://refresh.bokss.org.hk/tc/insights/hong-kong-grief-recovery-disaster-trauma-why-truth-matters-refresh,時間真的可以沖淡一切？理解真相是心理復原的關鍵,2026-01-23,標準熱話科普,13.297,11,808,6.31,0.013614,4,163,6.71,0.02454
/tc/insights/relationship-anxiety-self-worth,https://refresh.bokss.org.hk/tc/insights/relationship-anxiety-self-worth,自我價值與關係焦慮：為什麼你會在愛裡患得患失？,2025-12-29,標準熱話科普,13.255,11,771,9.19,0.014267,2,140,10.74,0.014286
/tc/insights/working-mother-interview,https://refresh.bokss.org.hk/tc/insights/working-mother-interview,人際關係 【與＿＿對談】管教問題天天都多，媽媽不必做到完美！教育心理學家剖白媽媽心聲 三招善待自己，更能提升相處質素,2024-05-09,標準熱話科普,12.704,10,221,9.23,0.045249,0,31,10.35,0.0
/tc/insights/lsm001,https://refresh.bokss.org.hk/tc/insights/lsm001,運動與健康 壓力大容易「感冒」 4招免疫力大作戰,2022-10-21,標準熱話科普,12.06,10,639,7.97,0.015649,2,142,7.69,0.014085
/tc/insights/hong-kong-teen-communication-parenting,https://refresh.bokss.org.hk/tc/insights/hong-kong-teen-communication-parenting,從「OK啦」到「其實我想講」：讓青少年願意開口的親子對話術,2025-11-13,標準熱話科普,12.009,9,1336,7.86,0.006737,1,898,6.68,0.001114
/tc/insights/beyblade-childhood-games-mentalhealth-hk-refresh,https://refresh.bokss.org.hk/tc/insights/beyblade-childhood-games-mentalhealth-hk-refresh,運動與健康 爆旋陀螺翻Hit背後：童年對戰遊戲原來是數碼時代的「精神解藥」？,2026-05-08,標準熱話科普,12.006,10,463,6.53,0.021598,2,87,5.71,0.022989
/tc/insights/resilience,https://refresh.bokss.org.hk/tc/insights/resilience,個人成長 抗「逆」必學 增強心理彈性 守護自主心態（附心理彈性測試連結）,2024-01-11,標準熱話科普,11.321,6,2603,14.4,0.002305,1,1399,14.51,0.000715
/tc/insights/workplace-negative-comments_pt2,https://refresh.bokss.org.hk/tc/insights/workplace-negative-comments_pt2,工作與財務管理 職場人際｜被無禮對待怎麼辦？（下） 如何禮貌回應而不失霸氣,2024-11-15,標準熱話科普,11.094,9,745,7.13,0.012081,1,158,7.78,0.006329
/tc/insights/trestress,https://refresh.bokss.org.hk/tc/insights/trestress,個人成長 懶人忙人減壓超簡單 4招具實證又有趣的快速減壓法,2022-11-16,標準熱話科普,11.082,9,735,19.96,0.012245,3,171,16.33,0.017544
/tc/insights/2025-top-10-trending-wellness-guide,https://refresh.bokss.org.hk/tc/insights/2025-top-10-trending-wellness-guide,【懶人包】盤點2025年十大歐美爆紅療癒法 哪些真有用？,2025-11-19,標準熱話科普,11.028,7,91,5.69,0.076923,4,38,5.32,0.105263
